Department,Section,Name,Logo,Url
Performance Ops,SetUp,Nomenclature Generator,appScript.png,https://script.google.com/a/macros/seedtag.com/s/AKfycbxE_PfiT1y3DfdzZDgmpQ790Qb3Uxr1GSxKcH7IALz3T9zq_5zNbr2xhaQneH2L68Tl5Q/exec
Performance Ops,SetUp,Taxonomies,sheets.svg,https://docs.google.com/spreadsheets/d/18oUkkXOPbyl6-RlAZ9B1xl1ymX174uVASQ4oQkaiWok/edit#gid=1003983877
Performance Ops,SetUp,Bulk Campaign Gonfigurator,sheets.svg,https://docs.google.com/spreadsheets/d/11_BXFCXW9xJvDorvr3XlDumJ1HewcYVnWEqeFIQGpHA/edit#gid=2086694238
Performance Ops,SetUp,Market Sitelist and Kwds,sheets.svg,https://drive.google.com/drive/folders/1flSy3DyqcW-EZqRiLNYVdVsRFJEl5_4S
Performance Ops,Materials,Microsites,sheets.svg,https://docs.google.com/spreadsheets/d/1wuq5ezJK2VAsbuKp_enIrcyLPJLjtmIS99995ENpKlQ/edit#gid=0
Performance Ops,Materials,Campaign Summary,sheets.svg,https://docs.google.com/spreadsheets/d/1pU7HeKoKV8mOLoyztL2wQJT7PJ0mOTQ8wtH8sSfBxX4/edit#gid=0
Performance Ops,Materials,Seedtag Conversion Pixel,ppt.svg,https://docs.google.com/presentation/d/1gvYmnN3wJWE2mwi19899AAx8ZJeeoSgbP_UcFCpL1YU/edit#slide=id.g181892c5f8e_0_0
Performance Ops,Materials,GTM JS Pixel,ppt.svg,https://docs.google.com/presentation/d/1T_uzhILPdkCWzAiq1UMXheW4Eg8UCkDfpOD9jKA9klU/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,GTM IMG Pixel,ppt.svg,https://docs.google.com/presentation/d/1z1lJG0J3y5zHO-S9Inf68VJ49JnyR0SsNVKRM2uzVqQ/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,AdServer Report Configuration Guide,ppt.svg,https://docs.google.com/presentation/d/1Det0eD-EoW08CLvU5V2LumbidMOSj_HvqXkoaB2TeJU/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,Analytics Report Configuration Guide,ppt.svg,https://docs.google.com/presentation/d/1p95GsIMfKeN7UOcgDgEGvXr-wvTX_Vyjhm7IsQ91WmE/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,Mid-funnel KPIs EN,ppt.svg,https://docs.google.com/presentation/d/126fqZulizinzItqO-gDP56wdIDjXpvtDL0a0ATMa6CY/edit#slide=id.gdc9b2826ec_0_320
Performance Ops,Materials,Mid-funnel KPIs ES,ppt.svg,https://docs.google.com/presentation/d/1xoP8vKq8TBhYKzbKQwQwpVBe1TqoaWD6aWRStz0fpEQ/edit#slide=id.gdc9b2826ec_0_320
Performance Ops,Materials,GTM Template Pixel Guide,ppt.svg,https://docs.google.com/presentation/d/10K5rF_Lt3aRWUk098M48eAp3yEVWN19k0fAgYJUBp6Q/edit#slide=id.g2b5705181a7_0_66
Performance Ops,Optimization,Follow-up OMP,sheets.svg,https://docs.google.com/spreadsheets/d/1Y37qbeRpste-vligawkDUMdt4UFlA1DUC80T_3-xnQ8/edit#gid=0
Performance Ops,Optimization,Follow-up Performance,sheets.svg,https://docs.google.com/spreadsheets/d/1x53pqK9S7ouGX2oLA-0oHFZyQa4l2t8f28enZipIKEY/edit#gid=0
Performance Ops,Seguimiento,Performance Follow Up Documents,appScript.png,https://script.google.com/a/macros/seedtag.com/s/AKfycbzK33T56zTMzSOdhGcbrNkf4ZtKyzAM3fyhR514AcU7DmpjXWsZPxF4FE3jh6NItZsE/exec
Performance Ops,Seguimiento,Follow-up Template,sheets.svg,https://docs.google.com/spreadsheets/d/12YdvQuleqcLCNxvjTuLDg3lzb22MtHF_zsVGrHRZARo/edit#gid=1825025994
Performance Ops,Seguimiento,Follow-up Template + Extra Dimension,sheets.svg,https://docs.google.com/spreadsheets/d/1CbE-sOOb9a2HvZN1pGlmNbDkI41RDOyeP1Af0nBu_AI/edit#gid=437126443
Performance Ops,Reporting,Graph Generator,sheets.svg,https://drive.google.com/drive/folders/1tm66F7lxIDkHdCu9R-aw7nNT66ARJz2Z
Performance Ops,Reporting,Gmail Label,sheets.svg,https://docs.google.com/spreadsheets/d/17yH20aa7YsLMS7aNuFMxJzSA3Lh29PmbfQIStF1I5QI/edit#gid=0
